,Word,Frequency
18273,E p I k s,3
81585,E r V p t,5
18448,E r V p t I d,13
18520,E s e I,1
18652,"E v @ n E s n , s",3
17003,I @ r e I k,3
27443,I N k V m b @ n t,18
28042,I N k w a I @ z,11
65616,I d E n t I f a I d,113
65624,I g n O: d,108
74199,I g n a I t I d,3
81573,I k w I v U k e I t,1
26701,I l,23
65640,I m 3: s,4
26969,"I m p 3: s @ n l , I",10
27028,I m p O l I t I k,3
82650,I m p i: d I d,6
27159,I m p j O: r *,12
27162,"I m p j U t e I S n ,",8
27021,I m p l O: r I N l I,2
27102,"I m p r E S n , z",124
65691,"I m p r I z n ,",4
27169,I n & k j @ r I s I,6
28674,"I n @ n d e I S n ,",4
28012,"I n @ v e I S n ,",200
65791,I n @ v e I t,3
27919,"I n I b I S n , z",71
27477,I n d E f n I t l I,182
74322,I n d V s t r I @ l a I z d,29
27871,I n d Z E n j w @ s,13
74324,I n f E k t,9
27761,"I n f E s t e I S n , z",1
27859,I n f j O: r I e I t I d,6
27800,"I n f l e I t @ b l ,",34
27803,I n f l e I t I d,49
82788,I n s 3: t,18
28275,"I n s @ p O: t @ b l ,",12
28089,I n s E n s I t,3
28139,I n s I p I d I t I,4
28213,"I n s t I l e I S n ,",2
28189,I n s t O: l z,6
28162,I n s u: s I @ n s,16
28163,I n s u: s I @ n t,6
82854,I n t 3: d,2
28583,I n t @ m @ s I,179
28524,"I n t @ r I l e I S n , S I p",9
82859,I n t @ r V p t,24
82862,I n t @ s E k t I d,2
74411,I n t @ s i: d,3
28377,I n t @ t S e I n Z @ b l I,10
74443,I n t E r U g e I t,4
28306,I n t I g r e I t I d,14
28650,"I n t r @ v 3: S n ,",5
28663,I n t r u: s I v,27
65910,I n v E s t I g e I t,42
28727,I n v E s t I g e I t,42
28775,"I n v O l n , t r I l I",67
28898,I r I s p O n s I b l I,16
1738,"N ,",514946
3030,O: d @ b I l I t I,6
36952,O: d n @ n s,25
91783,O: t,205
3136,O: t @ b a I O g r @ f I,126
79274,O: t @ g r & f,1
87495,O: t @ m e I t I d,10
3137,O: t O k r @ s I z,3
36254,O b I l I s k,13
36358,O b s E S @ n @ l,3
36470,O d @ t I,31
37658,O k s a I,2
1452,O l t @ n e I t I N,75
36691,O n k V m I N,26
36781,O p r @,420
36863,O p t @ m I s t s,14
36858,O p t I k s,10
37002,O r I f I s I z,7
75344,O s @ l e I t,1
48606,S & t @ d,45
48573,S E @ k r O p @ r *,3
68610,S I @ d,1
68640,S I v @ d,23
48944,S O: t @ r e I n Z,1
48946,S O: t I s t,50
48857,S O d @ l I,2
49161,S V t l I N,8
77070,S e I k,93
85580,S r a I v,1
49098,S r a U d,4
55373,T 3: m @ U d I n & m I k s,19
55380,T 3: m @ s I z,3
55335,T I @ r a I z,2
55678,T V m p I N,10
78133,"T r O t l , d",3
58586,U r @ g w a I,20
57685,V n @ t E n d I d,20
58386,V n T I N k I N,21
69948,V n b & l @ n s,2
57855,V n d @ g r & d j U I t s,84
57915,V n d @ s a I d,79
69986,V n d @ s t e I t I d,2
69999,V n d r E s,14
70008,V n f 3: l,1
36712,V n j @ n,170
58410,V n j u: z d,89
86810,"V n k V p l , d",1
58229,V n m & n l I,11
78468,V n p & k,8
58339,V n s k r I p t I d,6
58337,V n s k r U I N,5
86891,V n s k r u:,4
78478,V n s k r u: d,4
58443,V p,8277
26554,a I b E k s,10
28827,a I r I S w U m @ n,3
37120,a U t b r e I k s,30
83772,a U t f e I s,1
37188,a U t l A: s t I d,1
37241,a U t r I d Z I z,12
37292,a U t w @ d,190
79337,b & N d,22
3786,b & r I t @ U n z,2
4009,"b & t l , S I p s",20
71340,"b 3: b l , d",1
62481,b @ U l s t @ d,3
62275,"b @ d E v l ,",1
71007,b @ g a I l d,1
4287,b @ g r V d Z I z,1
4155,b @ k V m I N,1375
71023,"b @ l I t l ,",6
3821,b @ r @ U n I @ l,12
4559,b @ s t @ U,6
62356,b @ t r e I,28
3737,b A: b & r I t I,7
4472,b E n I f I t,60
62350,b E t,41
4613,b E t @ m @ n t,6
4859,b I S @ p r I k,2
4727,b I l b r I z,2
6569,b I l d,80
6578,b I l d V p s,2
4586,b I t @ U k n I N,1
4891,b I t @ l I,290
5707,b O: d @ z,14
5719,b O: r I N,32
6729,b O I I N,1
5718,b O r I k,4
5784,b O t @ m l E s,39
71207,b O t S t,3
6691,"b V n d l ,",239
71359,b V s t,2
6921,b V t I N,12
71071,b a I @ s,1
4664,b a I s E p s,14
4022,b e I,528
87543,b e I D d,12
3502,b e I l I N,10
4195,b i:,118
4072,b i: m z,5
87550,b i: t S t,2
62397,b l & k m e I l d,4
87609,b l & k t,2
79537,b l E n d I d,10
87635,b l O k t,37
5222,"b l V d v E s l ,",1
71098,b l e I m,130
5046,b l i: t S t,11
6000,b r & n d I S I z,2
6016,b r & z j @ r *,34
71241,b r A: n S t,4
79667,b r E k f @ s t I d,2
6232,"b r I g @ d I @ d Z E n r l ,",11
6293,b r I t I S @ z,7
6321,b r O: d m a I n d I d,13
6334,b r O k @ l I,16
6396,b r V D @ r *,1531
6177,b r a I b @ r I,56
6194,b r a I d z m e I d,17
6272,b r a I n I,1
6264,b r a I n z,1
6411,b r a U n,1341
6423,b r a U n s t @ U n,7
5970,b r e I n w O S I N,6
71228,b r e I s,6
5923,b r e I s t,11
6117,b r i: D d,42
6432,b r u: z,29
88200,"d & b l , d",5
15099,d 3: t I @ r *,11
13337,d A: k,2665
13206,d E @ r I m e I d,5
13564,d E b I t,1
13757,d E d I k e I t I d,26
13876,d E f @ r E n S @ l I,12
14254,d E n S @ r *,8
14340,"d E p r @ v e I S n ,",1
14511,d E s k s,160
13848,d I f E k t I v,53
63702,d I f a I l d,4
13814,d I f e I s I z,1
72360,d I f j u: z,6
13955,d I f j u: z d,2
63897,d I g,64
14930,d I g n I f a I I N,1
80708,d I k l E @ d,128
14167,d I m O n I k,34
14278,d I p A: t S @ r *,453
14346,d I p r & v I t I,26
15113,d I s @ b j u: z,1
88412,d I s E n f r & n S a I z d,1
15368,d I s E n g e I d Z m @ n t,16
64009,d I s I n f E k t I d,2
72579,d I s b A: d,1
72631,d I s f I g @ d,6
13619,d I s i: v @ z,2
81011,d I s k V l @ d,6
15302,d I s k V v r @ z,7
72459,d I s k r a I d,1
88431,d I s l @ k e I t I d,3
15621,d I s p @ U z I N,39
72685,d I s p E l,13
14544,d I s p O t I k,17
15607,d I s p l i: z I z,2
81154,d I s t O: t I d,35
15206,d I s t S A: d Z,116
15807,d I s t r E s I z,3
80901,d I t & t S t,12
63857,d I t 3: m I n,111
15875,d I v 3: d Z I N,6
15881,d I v 3: s I f a I d,5
14721,d I v a I z I N,33
63823,d I z 3: t I d,58
80878,d I z 3: v,52
81078,d I z m e I,1
64025,d I z m e I,1
16196,d O: m @ r *,6
16735,d V b,1
72810,"d V b l , k r O: s t",1
16823,d V m I s t,7
29057,d Z & g z,3
22780,"d Z E n t l , m E n",511
82946,"d Z E t I z n ,",2
29284,d Z O b z,1594
82976,"d Z O s l , d",6
29444,d Z U d I S @ l I,6
29525,d Z V N k I,14
89442,d Z V g d,1
89448,d Z V k s t @ p @ U z d,1
82988,"d Z V m b l , d",10
23213,d Z i: E m t i:,4
29419,d Z u: b I l @ n t l I,6
29474,d Z u: l E p,1
29515,d Z u: n I @ r *,29
29395,d Z u: s t I N,2
14757,d a I @ b O l I k,12
14785,d a I @ l E k t I k s,7
63899,d a I d Z E s t I d,13
16980,d a I n @ s t I,53
14824,d a I s I N,1
16331,d a U n p O: r *,35
16341,d a U n s t E @ z,4
16349,d a U n w @ d,76
13212,d e I z I,531
88257,d i: m d,15
63681,d i: p f r i: z,1
72503,d i: t @ n e I t I d,3
16871,d j u: p t,2
16419,d r @ m & t I k l I,221
16420,d r @ m & t I k s,17
16602,d r a I v I n,15
16604,d r a I v I n z,5
72849,d r u:,263
88537,d r u: l d,1
16280,d u: S I z,1
3313,e I,6
1003,e I d Z I z,769
61801,e I k t,14
70637,e I l I @ n e I t,4
79240,e I t,183
19757,"f & S n , @ b l ,",363
19587,f & l @ s I z,14
19655,f & n s I z,1
22252,f 3: n I S I N,38
39401,f @ U n k O: l,4
21419,"f @ g E t f l ,",21
19452,f @ s i: S @ s l I,5
19681,f A: r *,738
64748,f E @ d,6
19548,f E @ r I z,74
20061,f E r @ t,2
88831,f E r I d,3
20091,f E s t @ r *,2
19891,f I @ f U l I,43
88852,f I N g @ d,8
88853,f I N g @ p r I n t I d,2
20173,"f I d l , f & d l ,",1
21372,f O: S & d @ U,1
73623,f O: k,7
21351,f O: l O k s,3
19878,f O: n I N,9
21502,f O: n I k e I t,1
21641,f O: t i: n z,2
73578,f O l @ U,395
64968,"f O n d l , d",2
21504,f O r @ d @ r *,3
21262,f O r I d Z I z,2
22189,f V N S n @ r I,9
22096,f V k s,2
22198,"f V n d @ m E n t l , I z m ,",5
73722,f V r @ U d,4
65115,f V s,4
20241,f a I t s,113
21648,f a U l,18
73645,f a U n d I d,90
88836,f e I t I d,2
20020,f i: m e I l,302
19926,f i: t S @ l @ s,32
20133,f i: v r I S l I,29
65096,f j u: m d,2
22210,"f j u: n r l ,",392
88863,f l & b @ g A: s t I d,3
20716,f l & t n I N,29
20985,f l @ U z,25
20670,f l E @ d,15
20799,f l I b @ t I d Z I b I t,1
73519,f l I k @ r *,6
81917,f l O: n t I d,2
20920,f l O p,2
21012,f l V m @ k s t,1
20958,f l V r I S I z,34
21733,f r & p e I,1
21846,f r E n t m @ n,54
65059,f r E t I d,5
21982,f r O g d,2
65070,f r O l I k,1
22004,"f r O n t l ,",63
88971,f r V n t I d,4
88975,f r V s t r e I t I d,48
65083,f r a I,25
75695,f r e I z,3
21789,f r i: @ U l d @ r *,3
22475,g & N @ r *,2
73738,g & l @ p t,8
73739,"g & l v n , a I z",2
22473,g & n d @ r *,3
73931,"g & r n , t i: d",47
22561,g & s k I t,2
22977,g 3: l,4944
23239,g @ U l I,3
23325,g @ U l d d I g @ z,4
22661,g @ z E t,52
82166,g A: n I S,5
22576,g A: s p t,27
24075,g E s I z,4
22932,g I l b 3: t I @ n,1
22641,g O: k I n @ s,1
23367,g U d b a I,26
23370,g U d f @ n V T I N,1
24145,g V l p,41
24187,g V p I,88
23489,g a U n d,1
65137,g e I p t,6
22653,g e I z,17
24034,g j u: A: n @ U,13
23025,g l & m @ r *,131
23029,g l A: n s I z,148
23211,g l I s @ r I n,12
65221,g l O: r I f a I,2
23169,g l O s I,146
23207,g l V t @ n @ s,9
23090,g l a I d z,11
23498,g r & b I N,67
23883,g r @ U s @ z,23
23984,g r @ U z,456
23771,g r E n e I d z,52
89083,g r I m @ s t,9
23869,"g r I z l , z",1
82336,g r V b,3
23850,g r a I p s,4
89092,g r a U n d I d,10
23505,g r e I s l @ s,12
23726,g r i: d,152
24302,h & k w 3: k,1
82400,"h & p n , d",688
25662,h @ U,122
25681,h @ U k s I z,1
25731,h @ U l d,577
25819,h @ U m t a U n,17
65396,h @ r & N d,2
24672,h A: b & k t,1
24664,h A: b @ r @ r *,1
24314,h A: f t,4
73998,h A: m,26
74001,h A: m @ n a I z d,1
82455,"h A: t n , d",2
24350,h E @ d a I,1
24788,h E @ r @ m s k E @ r @ m,1
25088,h E D @ z,1
25160,h E d @ n I s t I k,12
74060,h E m,1
25341,h I @ r @ U,545
25452,"h I g l , d I p I g l , d I",3
25581,h I n Z I z,10
65506,h I s,3
25653,h I t s,100
65434,h O: k,1
89149,h O: l d,20
24455,h O: l w e I z,11
26037,h O: s S I t,4
26064,h O s p I s I z,3
26112,"h O t n , t O t",10
25922,h U k @ z,14
74151,h V f t,1
26288,"h V m b l ,",199
89222,h V m d,11
26450,"h V s l , I N",12
26443,h V s t I N z,5
26182,h V v @ d,18
26422,h V z b @ n m @ n,13
25609,h a I @ r *,43
74078,h a I d Z & k t,2
25488,h a I l @ n d z,33
89154,h e I z d,1
25098,h i: v,13
26244,h j u: d Z @ r *,1
60627,h u:,42881
60376,h w & k I N,3
60490,h w I g,28
70294,h w I m p @ r *,5
78735,"h w I s l , d",16
821,i: O n,2
17172,i: k O n @ m I z,214
18572,i: t 3: n I t I,111
81625,i: v I s @ r e I t I d,1
61470,j A: d s t I k,25
61525,j E l z,14
61543,j E s t @ d e I,185
58578,j O: r @ n e I t,6
58178,j U n a I t s,31
57611,j u: E f @ U,6
58164,j u: n I @ n a I z I N,1
7068,k & f I,342
7129,"k & l @ b r e I S n ,",1
7108,k & l s I n d,1
7208,k & m I @ U,17
7294,k & n d I d,41
7656,k & r @ t s,99
8311,k & r I k t @ r I s t I k l I,89
62853,k & r I k t @ r a I z d,36
7757,k & s @ r @ U l,74
7713,k & s k e I d,1
7777,"k & s t I g e I S n ,",3
62783,k & s t I g e I t,1
7863,k & t I g @ r I z,314
7969,k & v 3: n z,20
72193,k 3: t e I l d,7
12977,k 3: z,1
29953,k @ U A: l @ z,1
63075,k @ U I n s a I d,18
11497,k @ U O p r @ t I v,200
9735,k @ U d I N,26
80166,k @ l E k t,117
12959,"k @ m V d Z n ,",2
10289,k @ m p & t I b I l I t I,17
10406,k @ m p @ U z @ z,98
80221,k @ m p a I l,3
63200,"k @ n d I S n ,",6
10639,"k @ n d I S n , d",21
80283,k @ n d V k t I d,82
10658,k @ n d V k t I d,82
80293,k @ n f 3: m,57
71879,k @ n f 3: m,57
10676,"k @ n f E k S n , r I",15
10717,k @ n f a I d I N l I,5
10720,k @ n f a I n,19
88027,k @ n f a I n d,63
71919,k @ n s 3: v d,3
71925,k @ n s @ U l d,8
63284,k @ n t e I n,154
11256,"k @ n t r & k S n , z",28
71976,k @ n t r @ U l,155
71968,k @ n t r A: s t,4
11362,"k @ n v E n S n l , I",57
87792,"k @ p I t l , a I z d",5
11707,k @ r E k t I v,28
7572,k @ r E s,13
11761,k @ r V p t s,9
62802,"k O: S n ,",1
62803,"k O: S n , d",6
71480,"k O: S n , d",6
63358,k O: n d,3
11649,k O: n f l e I k,4
11650,k O: n f l e I k s,58
11692,k O: p j U l @ n t,10
8822,k O: r @ s t,2
11762,k O: s A: Z,6
63406,k O: t,12
9816,k O I l d,11
87956,k O I l d,11
9819,k O I n,132
10825,"k O N g r I g e I S @ n @ l I z m ,",2
87953,k O d I f a I d,2
80138,k O k,3
9689,k O k n I,26
10238,k O m j @ n I s t,47
10303,k O m p @ n s e I t I d,11
71827,k O m p r I h E n d I d,2
10654,k O n d @ r *,6
10713,"k O n f I d n , t l I",113
11293,k O n t r @ v i: n I N,4
63319,k O n v 3: d Z,9
11535,k O p I @ r *,1
80425,k O p I d,23
11562,k O p t I k,11
11673,"k O r n , e I S n , z",5
11790,k O z m E t I k,22
9983,k V l @ d,17
12853,k V l t I v e I t I d,114
10018,k V m b @ t I v l I,1
10054,k V m l I,19
63240,k V n Z @ d,3
10867,k V n Z r @ r *,21
12962,"k V r n , t s",23
91736,k V t,325
11947,k a U n t @ p A: t,99
88187,k j O: d,33
42791,k j u:,590
13053,k j u: t,54
42797,k j u: z,8
87894,k l & d,1
9138,"k l & r I f I k e I S n ,",18
9393,k l @ U k r u: m,20
63003,k l I p,3
9202,k l O: s t r @ f @ U b I k s,1
87929,k l O z I t I d,3
9541,k l V m z I,209
63019,k l a U d,6
12331,k r E d I b I l I t I,118
80524,k r E d I t I d,13
12347,k r E d j u: l I t I,22
63468,k r I m p t,2
80533,k r I m p t,2
8832,"k r I s n ,",2
61430,k r I s t m @ s,3
12621,k r O: s w 3: d z,8
12548,k r O p t,15
12212,k r e I n z,1
11482,k u: l I N,112
43123,k w @ U t s,53
43011,"k w I k n , d",6
84551,k w O S t,2
30228,l & N g w I S I N,13
30047,l & k I,11
30122,l & k s,10
30125,l & m,265
74623,l & s @ r e I t I d,3
31490,l @ U g @ n b E r I z,3
31542,l @ U n @ r *,20
31539,l @ U n l I I s t,3
30277,l A: d Z s k e I l,277
30282,l A: g @ U,1
30318,l A: s t,176
66143,l E d Z I s l e I t,7
30696,l E d Z I s l e I t s,2
89501,l E n t,30
89517,l E n t,25
83103,l E p t,38
89529,l I f t I d,146
31240,"l I k w I d e I S n ,",19
31138,l I m u: z i: n z,20
83257,l I n S,5
31265,l I s n @ z,109
66104,l O: n S t,84
31546,l O N,8503
31570,l O N I S,32
31409,l O b s t @ p O t s,3
31605,l U k a U t,91
31948,l V s t I,23
83230,l a U n Z,2
31725,l a U n Z s j u: t s,1
66053,"l e I b l , d",38
66114,l i: f,3
30630,l i: t S I z,11
66244,l u: s,4
83261,"m & d n ,",3
32002,m & k,52
32278,m & l,173
74864,m & l t r i: t I d,2
32418,m & n I O k,2
32560,m & r I g @ U l d,14
32725,m & s @ k I s t s,4
32760,m & s I v,949
32757,m & s i: f,14
66363,m & s p r U d j u: s,2
33295,m 3: s I z,9
66288,m @ S i: n d,1
34744,m @ U,8
34271,m @ U m @ n t r I l I,143
34242,m @ l & s I z,27
32233,m @ l A: w I,29
32276,m @ l I N g @ r @ z,2
32564,m @ r I m b @ z,1
35073,m @ s E l f,4819
32847,"m @ t I @ r I @ l I z e I S n ,",6
32584,m A: k,74
32695,m A: k s I s t,275
74922,m A: s t @ m a I n d I d,2
32542,m A: t S @ z,38
33035,m E Z @ d,63
33358,m E s,438
33409,"m E t @ f I z I k l ,",129
33389,"m E t l , d",1
33807,m I N k,28
83485,m I k s,79
33631,m I l @ t @ r I s t,7
66448,m I l @ t @ r a I z d,1
33643,m I l k,19
33656,m I l k s O p,1
34014,m I s I N,395
83449,m I s I n t 3: p r I t I d,4
66518,m I s V n d @ s t U d,16
33962,m I s d Z V d Z m @ n t s,2
33916,m I s d a I r E k t,1
83442,m I s d a I r E k t I d,3
66519,m I s j u: z,2
66474,m I s k & l k j @ l e I t I d,1
33886,m I s k & r I d,2
33928,m I z r I,355
32932,m O: k I S n @ s,2
75087,m O d Z U l e I t,1
34140,m O k,3
34277,m O m @,26
34287,m O n @ k s,16
34957,m V S,24
34995,m V s I N,2
35064,m a I @ U p I @,13
33767,m a I n @ r *,41
32157,m e I l b & g,3
33134,m i: t,1565
33045,m i: t I @ r *,1
89768,m j u: t I d,5
36686,n,109129
35226,"n & S n l , I s t s",119
35106,n & b,1
35114,n & g,6
35248,n & t @ l I,1
36032,n @ U t I s @ b l I,91
36034,n @ U t I s b O: d z,3
29946,n @ U z,2306
35134,n A: i: v,198
35530,"n E t l , r & S",1
35672,n I g @ z,26
35769,"n I s n ,",8
35770,n I t,9
35908,n O n s m @ U k @ z,18
36010,n O t S,28
36121,"n V l I f I k e I S n ,",6
35667,n a I d Z I @ r I @ n,6
35457,n e I b @ l I,14
35460,n i: D @ r *,193
35395,"n i: d l , d",1
37854,p & l E s t I n j @ n,16
37858,p & l E t s,2
38043,p & p j U @ n z,1
38089,"p & r l , @ l I N",8
38522,p & t @ z,3
83985,p & t S,5
83991,"p & t r n , a I z d",6
39033,p 3: d Z r @ r *,1
38961,p 3: f E k t @ b I l I t I,1
38963,p 3: f I k t I N,13
39037,p 3: k,8
38942,p 3: k @ l e I t s,1
39045,p 3: k I,7
90021,"p 3: s n l , a I z d",7
39168,p 3: s p I k & s I t I,9
38932,p 3: t S,34
40367,p @ U E m z,184
40606,p @ U n I,138
40759,p @ U z d,42
38939,p @ s I p j @ n t,3
75671,p @ s w e I d I d,81
38442,p @ t 3: n @ l I s t I k,18
67013,"p A: d n , d",2
38408,p A: s t S @ r *,1
38702,p E d I m @ n t s,11
75614,p E g d,5
38776,p E l t,8
75619,"p E n s l ,",2
39270,p E t r I f a I z,2
39774,"p I n t e I b l ,",3
67218,p I s k i: z,1
84151,p I s t,3
39259,"p I t I S n ,",96
37870,p O: l,31
37875,p O: l b E @ r @ z,6
38536,p O: z,388
67292,p O I z,1
40406,"p O I z n ,",4
90104,"p O I z n , d",23
40356,p O k I t s,340
40580,p O m z,2
75844,p O z I t,3
40781,p O z I t I v l I,277
40480,p U l a I t l I,222
42454,p U l m @ n z,3
67335,p U z E s t,76
76082,p V m p,14
42570,p V n t I d,1
42699,p V s,38
42751,p V t I N,61
42784,p a I @ r @ t E k n I k,1
90137,p a U @ d,8
38587,p e I O: f s,18
38023,p e I p @ t S e I s,1
67059,p e I v d,4
38706,p i:,16
38612,p i: h E n,1
38614,p i: k,2
38613,p i: k,404
38615,p i: k t,33
42609,p j O: r I s t,44
39938,p l @ s E n t @,26
40032,p l A: s t @ d,14
75793,p l V m I t,3
40280,p l V m p,4
75750,p l e I g,6
39968,p l e I n l I,209
91821,p l i: d,11
40150,p l i: z I N l I,8
41793,p r @ U f a I l I N,2
90202,p r @ U g r & m d,23
67464,p r @ U k r I e I t,2
42142,p r @ U t e I Z e I,28
41177,p r @ d O m I n e I t I d,2
75999,p r @ l I f @ r e I t I d,4
41305,p r @ p O n d @ r e I t I N,1
41336,p r @ s k r a I b d,75
41418,p r @ z u: m,23
41331,p r E S j @ n s,7
41072,"p r E b m , d r I",2
90150,p r E d I k e I t I d,1
75905,p r E f @ s t,2
75918,p r I O k j U p a I,2
41558,p r I m p I N,2
41586,p r I n t I d,96
41349,p r I z E n t @ b l I,1
84424,p r O N d,1
41673,p r O b I t I,6
41915,p r O m I s I N l I,4
41998,p r O p @ t I d,6
84419,p r U m @ U t I d,29
84456,p r U t E k t,212
41637,p r a I z,55
75872,p r e I z,29
41068,p r i: t S I N,80
41960,"p r n , a U n s I N",16
42300,p s,2
43139,r & b I t I N,6
67683,"r & m b l , d",2
67685,r & m p e I d Z,1
76201,r & n s & k t,4
90322,"r & t l , d",25
90323,r & v I d Z d,8
46272,r @ U @ n z,6
46263,r @ U v d,1
76267,r @ b j u: k t,7
84846,r @ d Z E k t I d,120
44076,r @ d i: m d,7
44181,r @ f a I n d,7
90405,r @ f j u: z d,231
44206,r @ f l E k t @ r *,12
90398,r @ f r & k t I d,2
44243,r @ f r e I n z,1
84861,r @ l & k s,78
44491,"r @ l e I S n , z",1286
84859,r @ l e I t,66
84886,r @ m e I n d,346
44684,r @ m u: v z,4
44877,r @ p @ U z d,3
44780,r @ p A: s t s,1
68064,r @ p V l s,1
44848,r @ p l E n I S m @ n t,8
43875,r @ s I p j @ n t,71
43836,r @ s i: t,122
76616,r @ s t O: r *,50
45224,r @ s t O: r @ t I v,7
45233,r @ s t r e I n d,68
45319,"r @ t E n S n ,",63
45472,"r @ v 3: s l ,",97
76601,r @ z O: t I d,9
90510,r @ z a I d I d,4
45087,r @ z a I n d,54
43502,r A: s p I N,8
76300,"r E k l , E k t",8
70406,r E k t,21
44637,"r E m @ n I s n , s I z",42
84926,r E n t I d,35
45189,r E s t,3644
68166,r E v,1
76703,r E v @ l j u: S n a I z d,6
45432,"r E v I l e I S n ,",156
45433,"r E v l , e I S n ,",50
45275,"r E z @ r E k S n ,",44
44394,"r I @ b I l I t e I S n ,",78
67745,r I @ d,23
76247,r I @ p I @ r *,12
84661,r I @ p I @ r *,12
45617,r I b @ n d,5
85134,r I d I k j u: l,5
45666,r I d Z I N,7
90531,r I t e I l d,1
45879,r I v @ s a I d,14
45979,r O k I I s t,1
45980,r O k I N,142
78842,r V N,9
46338,r V d @ r *,16
46199,r V f I s t,10
45748,r a I l,1
76712,r a I m,2
45568,r a I t h & n d,9
46241,r a U n d V p s,7
46247,r a U s t @ b a U t s,1
43583,r e I v @ n,39
90425,r i: I n f O: s t,39
43804,r i: b @ s,1
76318,r i: k a U n t,1
67960,r i: l I v,6
44575,r i: l I v I N,16
44832,"r i: p l e I s @ b l ,",4
68058,r i: p r U d j u: s,33
76562,r i: p r U d j u: s t,17
68085,"r i: s E t l , d",2
45315,r i: t S I z,3
68284,r u: t,7
85285,s & N,84
90637,"s & d n , d",9
46811,s & m p & n,1
46863,s & n d I N,2
79914,s 3: t I f a I d,3
8126,s 3: t I n t I z,53
77435,s @ U l d Z @ r *,2
50856,s @ U n O: r @ s,29
50594,s @ U p s,8
50644,s @ U s I O l @ d Z I,203
53317,"s @ b t r & k S n ,",20
68523,s @ k j O: d,41
69447,s @ p r E s t,38
47768,s E k,14
48424,s E k s l @ s,35
47828,s E k t E @ r I @ n,30
48119,s E n @ t,261
